Meisterzählung,D,A,B,C,E,F,G,W,Notizen
3433,#iS+wer uon der g#suo+ten ſprechen wolte,,,,,,,,
3434,vil ſinnes er haben ſcholte,,,,,,,,
3435,dazu tugent #avnd+ gute,,,,,,,,
3436,daz er mit reinem gemute,,,,,,,,
3437,ir lop mæhte geuahen 25S5,,,,,,,,
3438,daz iſt mir leider unnahen,,,,,,,,
3439,durh min ſuntliche burde,,,,,,,,
3440,doh gedinge ich daz got wrde,,,,,,,,
3441,menniſke dvrh die armen,,,,,,,,
3442,#avnd+ der da wolte erwarmen 2690,,,,,,,,
3443,uf mægetlicher bruſte,,,,,,,,
3444,ein ſundarinne d#siv+ chuſte,,,,,,,,
3445,d#siv+ t#?swo+ch d#siv+ trukent im ſin f#suo+zze,,,,,,,,
3446,#avnd+ geſteich zu ſinem gruzze,,,,,,,,
3447,ioh daz ſie gewan ſin hulde 2595,,,,,,,,
3448,ſus wart d#siv+ ſchuldige âne ſchul#lde+,,,,,,,,
3449,#avnd+ div ſwarce wol getân,,,,,,,,
3450,des dinge #sov+ch ih ſun#lde+r wân,,,,,,,,
3451,ſo uerre daz ich ernenne,,,,,,,,
3452,zeſprechen etewenne 2600,,,,,,,,
3453,uber mich uon #lde+r heren,,,,,,,,
3454,d#siv+ kunigin iſt #lde+r eren,,,,,,,,
3455,doh erfurhte ihz ſo ſere,,,,,,,,
3456,daz ich die re#lde+ abchere,,,,,,,,
3457,#avnd+ wende #f46r+ des herzen #sov+gen 2605,,,,,,,,
3458,ioh #?mîn+ ahte uon #lde+n t#sov+gen,,,,,,,,
3459,von dem riche von #lde+r her#?s+chefte,,,,,,,,
3460,uon der ſ#suo+zze von der trutſchefte,,,,,,,,
3461,der #?m+uter mit dem kin#lde+,,,,,,,,
3462,welh der hof iſt welh geſinde 2610,,,,,,,,
3463,welh ir werdikeit ane ende,,,,,,,,
3464,ſwenſo got dazu ſende,,,,,,,,
3465,der ſcribe daz ober mege,,,,,,,,
3466,ez iſt harte uz mînem wege,,,,,,,,
3467,wand ir lob iſt ſo ahtich 2615,,,,,,,,
3468,ir gnade alſo mahtich,,,,,,,,
3469,daz ſie girdekliche anſehent,,,,,,,,
3470,die engel #avnd+ ir iehent,,,,,,,,
3471,iemer ze keiſerinne,,,,,,,,
3472,nu helfe ſie unſ durh di minne 2620,,,,,,,,
3473,di got ſelbe zu ir hat,,,,,,,,
3474,und durh den gnadigen rat,,,,,,,,
3475,den er #lde+n werlte hab getan,,,,,,,,
3476,daz wir die ſunde werden âne,,,,,,,,
3477,,Nv giht der kvnik #rI+eſſe,,nu ſprichet d#aer+ kvnik yeſſe,,,,,
3478,,der magt weiz alſam der ſne,,di maget wiz als d#aer+ ſne,,,,,
3479,,daz von ſeinem geſlehte,,daz von ſime geſlechte,,,,,
3480,,niht pezzers chomen mohte,,nicht bezers kvm#aen+ [...],,,,,
3481,,ſein lamp vel zaigte #rG+edeon ,,,,,,,
3482,,daz deſter pezzer ſei ſein lon,,#?[...] ſin lon+,,,,,
3483,,,,#?vor[...]+,,,,,
3484,,,,[...] megetin,,,,,
3485,,wie ſi alle zwene dringent,,wi ſi alle zu dringen,,,,,
3486,,die langen briefe si,,di dilangen brife bringen,,,,,
3487,,#f40r+ die ſi ſelbe tihtent,,di ſi von ur tichten,,,,,
3488,,nv iſt chomen z#svo+ der ſlihten,,,,,,,
3489,,,,nv iſt kum#aen+ zu geſichte,,,,,
3490,,daz ſi hie bevore ſchriben,,daz ſi biwilen frumelich ſcriben,,,,,
3491,,nv ſint ſi beliben,,,,,,,
3492,,,,nu ſehent ſi ſi ane digen,,,,,
3493,,an engliſcher ſchare,,alle engeliſſche ſchar,,,,,
3494,,vnde vingerzaigent dare,,nv ving#aer+zeigent ſi dar,,,,,
3495,,#rD+ie #dp+magede hab#aen+t ſich an ſey,,#iD+#rI+ meide huben ſich anſi,,,,,
3496,,die ſei minten hie,,di ſi meinete,,,,,
3497,,ſant #rM+argrete,,ſant margarete,,,,,
3498,,v#and+ alle die ir heten,,vnd alle di ur hetten,,,,,
3499,,denhein#aen+ dienſt erboten,,kein dinſt erboten,,,,,
3500,,die ſint nv ge æret von goten,,di ſint nu geert von gote,,,,,
3501,,wie michel menige mit ir gât,,wie himel menige mit ur gat,,,,,
3502,,ſwa ſi ſitzzet oder ſtât,,wo ſi ſitzet od#aer+ ſtat,,,,,
3503,,in dem himelreiche,,indem himelriche,,,,,
3504,,ſi lobent ſey alle geleiche,,ſi loben ſi alle gliche,,,,,
3505,,vor ir iſt der engel wunne,,,,,,,
3506,,mere dan îeman ſag#aen+ chunne,,,,,,,
3507,,,,d#aer+i diet uz aller zvngen ,,,,,
3508,,,,[...]bent di huſgenozen,,,,,
3509,,,,mandunge groze,,,,,
3510,,#rD+a flivzzet zinamon,,da fluzet cy#dm+namome,,,,,
3511,,#rB+alſam#aus+ da ſmeket ſchon,,balſamus ſmeket ſchone,,,,,
3512,,v#ann+der den geſellen ſnelle,,vnd#aer+ allen den geſellen,,,,,
3513,,ir ſank ist eben v#and+ helle,,,,,,,
3514,,,,ur gesallt iſt ob in allen,,,,,
3515,,#rN+v wil ich der geſweigen,,nv wil ich d#aer+ geſwigen,,,,,
3516,,die von diſem leibe,,di zu diſme liben,,,,,
3517,,mit eren ſint ge ſundert,,mit eren ſint geſ[...]dert,,,,,
3518,,wan mich niht enwundert,,wanne mich des nicht enwundert,,,,,
3519,,daz ſi die vrowen g#aer+ne ſêhen,,daz ſi di [...],,,,,
3520,,v#and+ ir ze keiſerinne îehen,,,,,,,
3521,ia ligen wir in#lde+r not 2625,wir arme ligen ind#aer+ not,,,,,,,
3522,#avnd+ enwizzen wenne uns #lde+r tot,v#and+ wizzen niht wan vnſ d#aer+ tot,,vn[...] enwizen wanne vns d#aer+ tot,,,,,
3523,begrifet ungewarnet,begreifet vngewarnet,,begrifet vngewarnet,,,,,
3524,div ſele danne garnet,div ſele vil lange arnet,,di ſele ez danne gearnet,,,,,
3525,ſwaz der lip ie gefrumet,ſwaz der leip hat gefrvmet,,waz d#aer+ licham hat gefrumet,,,,,
3526,ſælich der wol chumet 2630,,,,,,,,
3527,uf daz tæidinch ſwâre,,,,,,,,
3528,daz er die uogetinne mære,,,,,,,,
3529,mit dieneſt erworben hat,,,,,,,,
3530,des mak da werden rat,,,,,,,,
3531,,hey wie vbel vns daz chvmet,,we wi ubele vns daz bekumet,,,,,
3532,,daz wir ir dienen ſo ſelten,,daz wir vn dinen ſelten ,,,,,
3533,,de#zs+ m#sve+zze wir enkelten,,des muzen wir enkelten,,,,,
3534,,#rN+v bite wir den gotes ſâl,,nu bitet di gotis bruch vnd den ſal,,,,,
3535,,gemeinlichen vber al,,,,,,,
3536,,daz ſi vns bedenke,,,,,,,
3537,,,,daz ſi da ture gruzſal,,,,,
3538,,,,des engels an vns bedenke,,,,,
3539,,ſwa wir an ir wenchen,,vnd wa wir gewenken,,,,,
3540,,#f40v+ daz ſi v#aer+chieſe den zorn,,daz ſi u#aer+kiſe den zorn,,,,,
3541,,ia were er ſelichlich geborn,,io w#aer+n ſi ſelig geborn,,,,,
3542,,der ovz dez h#aer+zen tieffe,,di uz irs h#aer+czen tife,,,,,
3543,,an ir genade rieffe,,uf ur gnade rifen,,,,,
3544,,#rN+v flege wir die die getriwen,,nv ulehen wir di getruwen,,,,,
3545,,daz ſi vns m#sve+zze enriwen,,daz ſi vns nu v#aer+nuwe,,,,,
3546,,von hauphaftiger ſvnde,,von allen houbetſunden,,,,,
3547,,v#and+ #sov+z dem abgrunde,,vnd [...],,,,,
3548,,erledige alle ſele,,,,,,,
3549,,durch ir ſvnes #^æ+re,,,,,,,
3550,#iI+ch muz dir ſagen mere 2635,#rI+ch m#svo+z dir ſagen m#^æ+re,,,,,,,
3551,ſprah #lde+r engil here,ſp#ara+ch der engel here,,,,,,,
3552,ein chreftigez z#^æ+ichen,ein chreftiges zeichen,,,,,,,
3553,daz din herze ſchol weichen,daz m#suo+z dein herze waichen,,,,,,,
3554,ze bezzerunge cheren,,,,,,,,
3555,d#siv+ gotes t#sov+gen leren,,,,,,,,
3556,din niſtel elyſabet,Deiner niftel dink #rE+lizabet,,,,,,,
3557,ir d#ain+ch frolichen ſtet,,,,,,,,
3558,nah wnſke #avnd+ gereite,,,[...] vnd gereite,,,,,
3559,,wie genedichlich daz ſtêt,,,,,,,
3560,,ich ſage dir berait,,,,,,,
3561,do ſie in ir kintheite,ſwie ſi in ir kintheit,,do ſi in ir kintheite,,,,,
3562,nehein wcher gebar,den hein w#?suo+cher nie gebar,,keinen wucher gebar,,,,,
3563,untze ſie uerwarte gar,v#and+ ſi hat v#aer+zweifelt gar,,vnz daz ſi gezwiuelte gar,,,,,
3564,#avnd+ in daz alter getrat,,,,,,,,
3565,nu #?hat+ ſie an der gnaden ſtat,,,,,,,,
3566,got ſelbe geſetzet,,,,,,,,
3567,#?avnd+ #?ir+ leides ergetzet 2650,,,,,,,,
3568,,,,vnd ouch uor ald#aer+ bidemt,,,,,
3569,,,,nu iſt ur bruſt gewihet,,,,,
3570,wol iſt ez ir ergangen,doch iſt ir lieb ergangen,,ez iſt ur libe ergangen,,,,,
3571,ſie iſt mit kin#lde+ beuangen,,,,,,,,
3572,,ſi hat ein kint enpfangen,,,,,,,
3573,,,,di vrouwe iſt kindes ſwanger,,,,,
3574,d#siv+ alte g#?e+t nu perhaft,v#and+ iſt worden perhaft,,vnd iſt nv worden berhaft,,,,,
3575,ſo groz iſt div gotes c#zh+raft,ia maht dv auch die goteſ kraft,,ia maht ouch du di gotis kraft,,,,,
3576,die mahtv ſch#sov+en deſte baz  2655,an ir ſchowen deſter baz,,,,,,,
3577,muglich iſt ime allez daz,mvgeleich iſt im alles daz,,,,,,,
3578,daz er gebivte #avnd+ wil,daz er gebivtet v#and+ wil,,[...]az er geb[...]t [...],,,,,
3579,er tut #avnd+ zeiget wn#lde+rs vil,er t#suo+t vnde ſchaffet vil,,er bezeiget [...],,,,,
3580,nu iſt #lde+r ſehſte manot,Nv iſt der ſehſte manod,,iſt di ſechſte manot,,,,,
3581,daz ſine zeſwe daz gebot 2660,daz ſein zeſewe daz gebot,,daz ſin zeſwe daz gebot,,,,,
3582,daz div trurige wr#lde+ getroeſte,,,,,,,,
3583,d#siv+ betwngen beloeſte,,,,,,,,
3584,d#siv+ durre #zwol+ geſegente,,,,,,,,
3585,ſo hat er ſin gebe geregente,,,,,,,,
3586,wand er von gwalte lihet 2665,,,,,,,,
3587,#lde+s #sov+h diu nature uerzihet,,,,,,,,
3588,,daz ir altev wambe,,daz di alte wamme,,,,,
3589,,einen vorboten dem lambe,,einen #zvor+boten ſime lamme,,,,,
3590,,m#suo+ſte gewinnen,,muze gewinnen,,,,,
3591,,d#aer+ im kvnde die minnen,,,,,,,
3592,,,,d#aer+ vnkundet vinden,,,,,
3593,,#rD+iv durre iſt worden fevhte,,di durre iſt worden wchte,,,,,
3594,,div w#sue+ſte iſt worden levhte,,,,,,,
3595,,,,ſin gnade witen luchte,,,,,
3596,,nahen v#and+ verren,,witen vnd u#aer+ren,,,,,
3597,,von chnehte v#and+ von herren,,,,,,,
3598,,,,er iſt meiſt#aer+ aller herren,,,,,
3599,#iD+o d#siv+ himiliſke maget,#iD+o div himiliſche maget,,#iD+#rO+ di himeliſſche maget,,,,,
3600,alſ uns lucas ſaget,als vns #f41r+ Lvcas hat geſaget,,als vns lucas ſaget,,,,,
3601,geſmachte #avnd+ bechorte,geſmakt v#and+ gechorte,,geſmacte vnd bekorte,,,,,
3602,uon gabrielis worte 2670,von #rG+abrieleſ worte,,von gabrielis worte,,,,,
3603,der oberiſten ſ#suo+zze,der oberiſten ſ#sve+zze,,d#aer+ oberſten ſuze,,,,,
3604,ſie gedaht daz ſie mit gr#suo+zze,ſi gedahte daz ſi gr#sve+zzen,,do gedachte ſi an daz gruzen,,,,,
3605,ir niftel ſehen ſcholte,,,,,,,,
3606,,#rE+lyzabeth wolde,,daz elyzabethen ſcholte,,,,,
3607,#avnd+ ſich des fr#sov+en wolte,v#and+ ſich des frewen wolde,,vnd ſich des ureuwen wolte,,,,,
3608,daz ir ſo wol gelunge 2675,daz ire wole was gelungen,,das ur ſo was gelungen,,,,,
3609,an#lde+r gotes barmunge,von goteſ barmvng#aen+,,an d#aer+ gotis barm#aun+ge,,,,,
3610,daz #sov+h ſie m#suo+ter ſcholte weſen,daz ſi muoter ſolde weſen,,daz ſi [...],,,,,
3611,vnt kindes geneſen,v#and+ eineſ kindes geneſen,,,,,,,
3612,div alte #avnd+ diu ſpæte,,,,,,,,
3613,d#siv+ ſin uerzwiuelt hæte 2680,,,,,,,,
3614,do hub ſich uon heime,,,,,,,,
3615,d#siv+ edel #avnd+ div reine,,,,,,,,
3616,,ſi eilte vil gewiſſe,,,,,,,
3617,,da ſi ir niftel weſſe,,,,,,,
3618,gêin dem berge da ſi ſaz,#sov+f einem berge ſi ſaz,,,,,,,
3619,unarbeitſam duhte ſie daz,,,,,,,,
3620,,vnſer vrowe wolte vme daz,,,,,,,
3621,,ire vart niht lazzen,,,,,,,
3622,uber die ſteinherten ſtrazze 2685,die vil ſcharffen ſtrazzen,,,,,,,
3623,ir gûte cham ez cemâzze,,,,,,,,
3624,daz ſie die lieben ſæhe,,,,,,,,
3625,vn#lde+ mit ir got uerîæhe,,,,,,,,
3626,siner wndere #f47r+ diu ſo riche,,,,,,,,
3627,ſo groz ſint unt ſo troſtliche 2690,,,,,,,,
3628,alſ ſie ir ni#?f+teln do geſah,,,,,,,,
3629,grozer fr#sov+de nîe geſcah,,,,,,,,
3630,fr#sov+en eliſabete,,,,,,,,
3631,#lde+nne ſie an #lde+r ſtun#lde+ hete,,,,,,,,
3632,,v#and+ die vil herten ſtaine,,,,,,,
3633,,die mohten div vil reine,,,,,,,
3634,,den heinen weiſ erwenden,,,,,,,
3635,,vnz ſi an des perges enden,,#fC2/2+ an des berges ende,,,,,
3636,,ir niftel beſprach,,ur niftelen ſi beſprach,,,,,
3637,,do ſi erſt an geſach,,do ſu ſi zu dem erſten anſach,,,,,
3638,ſie kuſten ſih mit triwen 2695,ſi gr#suo+zte ſei mit triwe,,ſi gruzte ſi mit truwen,,,,,
3639,#avnd+ begunden itenîwen,,,,,,,,
3640,d#siv+ ſeltſænen mære,,,,,,,,
3641,waz gnaden an in w#^æ+re,,,,,,,,
3642,beidenthalp ergangen,,,,,,,,
3643,do wr#lde+n #sov+h enpfangen 2700,,,,,,,,
3644,mit liebe ſtæter minne,,,,,,,,
3645,die geuerten #lde+r kuniginne,,,,,,,,
3646,,ſelzene v#and+ niwe,,ſeltſene vnd ittenuwe,,,,,
3647,,wurden ir div m#^æ+re,,wurden di mere,,,,,
3648,,,,die da geſchehen waren,,,,,
3649,,div ſp#ara+ch div ſeldenbere,,,,,,,
3650,,Si kuſte die houſvrowen,,#?mit lachend#aen++,,,,,
3651,,mit lachinden ovgen,,#?ſi kuſte di huſurouwen+,,,,,
3652,,v#and+ mit louter minne,,[...]#aer+l[...]h[...],,,,,
3653,,die mit der kvniginne,,di mit d#aer+ kuneg#ain+ne,,,,,
3654,,waren dar gegangen,,,,,,,
3655,,die wurden auch wol enpfangen,,,,,,,
3656,#iE+Lisabeth diu gute,#rE+lyzabeth div g#suo+te,,#iE+#rL+izabeth di guote,,,,,
3657,erkant in ir gem#suo+te,erkante in ir m#svo+te,,di erkante in irm gemute,,,,,
3658,#f47v+daz da fur ir #sov+gen 2705,,,,,,,,
3659,uon den gotes t#sov+gen,von den goteſ tougen,,uon d#aer+ gotis tougen,,,,,
3660,div chriſtes muter mære,,,,,,,,
3661,#avnd+ des himels brut komen w#^æ+re ,,,,,,,,
3662,daz enſæit ir menniſken zunge,,,,,,,,
3663,wan d#siv+ gotes ſtunge 2710,,,,,,,,
3664,,daz al der werlde vrowe,,daz aller d#aer+werlde vrouwe,,,,,
3665,,ir zehovs waz bechomen,,ur zuhofe was kumen,,,,,
3666,,ſi het ez #^æ+ niht vernomen,,ſi enhet ez e nie v#aer+#?o+m#aen+,,,,,
3667,,von menniſcher zvngen,,von menſchlich#aer+ zungen,,,,,
3668,,der ſi wolde ſtungen,,d#aer+ ſi da wolte ſtungen,,,,,
3669,kun#lde+ ſie wol geleren,d#aer+ kvnde ſei wol geleren,,d#aer+ konde ſi wol gelere,,,,,
3670,uon den chumftigen eren,die kvnftigen #f41v+ ere,,di kunftigen ere,,,,,
3671,daz was #lde+r heilig geiſt,daz was d#aer+ heilige geiſt,,daz was d#aer+ heilige geiſt,,,,,
3672,rehter dinge uolleiſt,reht#aer+ dinge volleiſt,,recht#aer+ dinge uolleiſt,,,,,
3673,#lde+r alle gnade chundet 2715,,,d#aer+ alle vreude kundet,,,,,
3674,der hete #sov+h ſie enzundet,,,d#aer+ het ſi ouch enzundet,,,,,
3675,ſa wart ſie wiſheite uol,ſi wart weiſſage vol,,zuhant wart ſi wiſſagens uol,,,,,
3676,#avnd+ began reden ſo wol,ſi rette ſchone v#and+ wol,,ſi rette ſchone vnd wol,,,,,
3677,uon #lde+r muter ioh #lde+m kinde,,,,,,,,
3678,der allez himels geſinde 2720,,,,,,,,
3679,rihtet #avnd+ wiſet,,,,,,,,
3680,ſie wart uon ir gepriſet,,,,,,,,
3681,hoher denne ie wibes name,,,,,,,,
3682,geſtige alſ iz ir gezâme,,,,,,,,
3683,ſie rîef mit lûterre ſtimme 2725,,,,,,,,
3684,owi aller fr#sov+en gimme,,,,,,,,
3685,wa han ich geuor#lde+rt die ere,,,,,,,,
3686,,mit ſant mareien,,mit ſante marien,,,,,
3687,,der edilen v#and+ d#aer+ freien,,,,,,,
3688,,,,di vor allen wiben,,,,,
3689,,,,den ſegen muz horen,,,,,
3690,,,,den nimant mak v#aer+ſt[...],,,,,
3691,,ſi ſp#ara+ch cum magna uoce,,,,,,,
3692,des m#suo+z mih wndern ſere,mich m#svo+z wundren immer me,,,,,,,
3693,wie ich des wirdich wrde,wan ich des wirdik wurde,,,,,,,
3694,daz du mit ſolher burde 2730,daz du mit ſolher purde,,,,,,,
3695,mir zehuſe komen biſt,mir ze houſe chomen piſt,,,,,,,
3696,du treiſt den gnædigen chriſt,dv treiſt den heiligen chriſt,,,,,,,
3697,meît m#suo+ter unſer#?s+ herren,m#suo+t#aer+ vnſers herren,,,,,,,
3698,waz mak mir n#suo+ gewerren,was mak mir nv ge werren,,,,,,,
3699,ſit dv mih haſt beſch#sov+et 2735,nv dv mich haſt beſchowet,,,,,,,
3700,wan uon dir wir#zt+ gefr#sov+et,von dir wirt gefrewet,,,,,,,
3701,allez adames geſlæhte,#rA+dâmes geſlehte,,,,,,,
3702,nu ſcholt ich dir ob ich mæhte,,,,,,,,
3703,uon rehten ſchul#lde+n dienen,,,,,,,,
3704,des gun#lde+ ich fur mich nieme#?N+ 2740,,,,,,,,
3705,,v#and+ ob ich dir nv rehte,,,,,,,
3706,,mohte gedienen,,,,,,,
3707,,und dich wol gelieben,,,,,,,
3708,,daz têt ich von herzen gier,,,,,,,
3709,,nieman ſo willeclich ſo dier,,,,,,,
3710,#iE+Liſabeth div alte,#rE+lizabeth div alte,,,,,,,
3711,nu horet waz ſie zalte,nv h#soe+rt waz ſi zalte,,,,,,,
3712,wie der gotes atem,wie der goteſ âtem,,,,,,,
3713,ſie hete berateN,hete ſey berâten,,,,,,,
3714,#f47r+ der d#siv+ broden herze erchert 2745,,,,,,,,
3715,div ſin gna#lde+ durh uert,,,,,,,,
3716,er uerdult#&+ v#ain+ſter nehein,,,,,,,,
3717,want ſwa er ie erſchein,,,,,,,,
3718,da heten #sov+rlovp die ſun#lde+,,,,,,,,
3719,#avnd+ entwichen ander ſtunde 2750,,,,,,,,
3720,in flivhet elliv achuſt,,,,,,,,
3721,werltliche liebe ſuntlich#siv+ gluſt,,,,,,,,
3722,der ſælig den er beſitzet,,,,,,,,
3723,iſt ſa gelerte ſa gewitzet,,,,,,,,
3724,ze guter ſtæte ze ſtæter g#suo+te 2755,,,,,,,,
3725,er git reinez gemute,,,,,,,,
3726,todes vorhte gotes minne,,,,,,,,
3727,rehtes gir#lde+ rehte ſinne,,,,,,,,
3728,der geiſt alſo here,,,,,,,,
3729,hiez die fr#sov+en mere 2760,,,,,,,,
3730,ſprechen wi#lde+r die mæit,,,,,,,,
3731,uon #lde+r ſuzzen warheit,,,,,,,,
3732,ſie ſprah ir lieplichen z#suo+,ſi ſp#ara+ch ſant mareien z#svo+,,,,,,,
3733,min ſûn ſpilt al zefru,min lieber ſun ſpilt harte fr#suo+,,,,,,,
3734,an min#aen+ bruſten zware 2765,,,,,,,,
3735,er iſt fro #avnd+ fr#sov+denbære,,,,,,,,
3736,ſit wir zeſamen komen ſin,,,,,,,,
3737,#avnd+ du mir #lde+n gruzſal din,,,,,,,,
3738,ruchſte erbieten kuniginne,,,,,,,,
3739,ſit bin ich wor#lde+n inne 2770,,,,,,,,
3740,daz ſih daz kint ruret,,,,,,,,
3741,#avnd+ez d#siv+ liebe umbefuret,,,,,,,,
3742,gegen diner werdikeit,,,,,,,,
3743,des hat in div gotes wiſheit,,,,,,,,
3744,bewiſte ſwie er din nîen ſihet 2775,,,,,,,,
3745,der herſchefte er doh gihet,,,,,,,,
3746,d#siv+ dir zeteile iſt getan,,,,,,,,
3747,alſ #sov+h ich des mich enſtan,,,,,,,,
3748,,in deſ leibes kamere,,,,,,,
3749,,ſeit wir hie ze ſamene,,,,,,,
3750,,ſein chomen ane neit,,,,,,,
3751,,daz kint iſt immer ſeit,,,,,,,
3752,,mit frevden bevangen,,,,,,,
3753,,mohte er her ovz gelangen,,,,,,,
3754,,er enpfienge dich kvniginne,,,,,,,
3755,,grozzer ſint ſeine ſinne,,,,,,,
3756,,danne ſein leip ſey,,,,,,,
3757,,der heilige geiſt wont im bey,,,,,,,
3758,,ſwie er bei min#aen+ rippen,,,,,,,
3759,,bowe die engen krippen,,,,,,,
3760,er erch#aen+net wol #lde+n heilant,er erchennet #f42r+ wol den heilant ,,,,,,,
3761,der dih des wirdige vant 2780,d#aer+ dich des wirdek vant,,,,,,,
3762,daz du eine ſcholteſ ſin,daz dv eine ſoldeſt ſein,,,,,,,
3763,muter vn#lde+ magedin,m#suo+t#aer+ v#and+ magedein,,,,,,,
3764,daz zeiget er mit dem ſpile,,,,,,,,
3765,des im d#siv+ nature nîen wil,,,,,,,,
3766,uerhengen mit #lde+r ſtimme 2785,,,,,,,,
3767,daz tut er #f48v+ dir ze minne,,,,,,,,
3768,,den leip er allen r#sue+ret,,,,,,,
3769,,div frev#lde+ in vmbef#sue+ret,,,,,,,
3770,,moht er den mvnt erheben,,,,,,,
3771,,v#and+ dir rede gegeben,,,,,,,
3772,,dv vern#^æ+meſt an ſein#aer+ ſtimme,,,,,,,
3773,,wie er dich hat in ſinne,,,,,,,
3774,,v#and+ den hailant m#^æ+re,,,,,,,
3775,,ſeinen ſchepfêre,,,,,,,
3776,#iD+az waſ ſante iohannes,#rD+az was ſant Io#ahanne+s,,,,,,,
3777,ungeborner uerſtunt er ſih #lde+s,,,,,,,,
3778,,in dem bovch freut er ſich deſ,,,,,,,
3779,bi ſiner muter herzen,bei ſeiner m#suo+ter herze,,,,,,,
3780,daz uon dem tivren mercen 2790,daz von dem tevren merze,,,,,,,
3781,die ſundære #avnd+ die notigen,,,,,,,,
3782,#lde+m tieuel ſcholten angeſigen,,,,,,,,
3783,#avnd+ daz d#siv+ mæget komen was,,,,,,,,
3784,d#siv+ des kindes ſit gnaſ,,,,,,,,
3785,den nie ſunde betwanch 2795,,,,,,,,
3786,#avnd+ an dem #lde+r gotes gedanch,,,,,,,,
3787,ioh ſin gute ruwen wolte,,,,,,,,
3788,#avnd+ der ein blume ſin ſcholte,,,,,,,,
3789,da aller geiſte beſte,,,,,,,,
3790,inne hete reſte 2800,,,,,,,,
3791,,die waiſen ovf der erden,,,,,,,
3792,,gefrevt ſolden werden,,,,,,,
3793,do #lde+r gotes t#sov+fære,do d#aer+ goteſ toufer,,,,,,,
3794,#avnd+ ſin uorbot mære,,,,,,,,
3795,,der vor laufer,,,,,,,
3796,,die bruſt het genom#aen+,,,,,,,
3797,waſ ce ſinen iaren kom#aen+,#rv+#and+ ze ſeinen iaren chomen,,,,,,,
3798,alſ wirz han uernomen,,,,,,,,
3799,er zæigete an den heilant 2805,er weſet ovf den hailant,,,,,,,
3800,den uns got vater ſante,,,,,,,,
3801,,mit dem vinger v#and+ mit der hant,,,,,,,
3802,daz er mit ſinem troſte,daz er mit ſeinem troſte ,,,,,,,
3803,die christenheit erloſte,die chriſtenheit erloſte,,,,,,,
3804,#avnd+ daz er meil nie gewan,,,,,,,,
3805,alſ er in do t#sov+fen began 2810,,,,,,,,
3806,der himel ſih ob im uftet,,,,,,,,
3807,im ze eren da ze ſtet,,,,,,,,
3808,ein tube here #^v+f im erſchêine,,,,,,,,
3809,#lde+r nie glich wart dehêine,,,,,,,,
3810,,daz daz lamp an alle maine,,,,,,,
3811,,ſein fleiſch v#and+ ſein gepaine,,,,,,,
3812,,an daz chrevze wolte legen,,,,,,,
3813,,v#and+ allen ſunderen wegen,,,,,,,
3814,,dar nach chom der weiſſage,,,,,,,
3815,,z#svo+ dem hailigen pade,,,,,,,
3816,,da er den herren tovfte,,,,,,,
3817,,den Ivdas ver choufte,,,,,,,
3818,,do wart der himel #sov+f getân,,,,,,,
3819,,ein toube ſo luſſam,,,,,,,
3820,die ſah er ob im ſweben 2815,die ſach er fliegen v#and+ ſweben,,,,,,,
3821,#avnd+ horte got urkunde geben,v#and+ horte ſey vrkunde geben,,,,,,,
3822,ſen#lde+ marien k#ain+de,ſant marien kinde ,,,,,,,
3823,daz er der ſi daman vin#lde+,,,,,,,,
3824,gnade d#siv+ niem#?daen+er zegat,,,,,,,,
3825,#avnd+ des riche ane en#lde+ ſtat 2820,,,,,,,,
3826,,daz wir ſulen vinden,,,,,,,
3827,,in fr#soe+lichen genaden,,,,,,,
3828,,#f42v+ da wir ſein z#svo+ geladen,,,,,,,
3829,Ich en wil an diſen ſtun#lde+n,#rI+ch wil an diſen ſtunden,,,,,,,
3830,niht gantzlichen chun#lde+n,niht vollechlichen kunden,,,,,,,
3831,ſænt iohanniſ ere,ſant Iohannes ere,,,,,,,
3832,untze ich daz liet furchere,,,,,,,,
3833,in unſer fr#sov+en minne 2825,,,,,,,,
3834,ir zelobe mir ze gwînne,,,,,,,,
3835,,ich furhte ich verchere,,,,,,,
3836,,daz liet von vnſer vrowen,,,,,,,
3837,,div ger#suo+ch ane ſchowen,,,,,,,
3838,,vnſer pet v#and+ vnſer digen,,,,,,,
3839,,v#and+ helf vnſ daz wir an geſigen,,,,,,,
3840,,des argen tiefels vnden,,,,,,,
3841,,vnde allen vnſren ſvnden #rAmen+,,,,,,,
3842,,,,[...] tuvel angeſigen,,,,,
3843,,,,vnd v#aon+ des meres wage,,,,,
3844,,,,zu deme beſten muzen gahen,,,,,
3845,#f49r+ #iD+az ander lieth hat ende,#iD+az eine liet hat ende,,#iD+#ra+[...]#aer+ [...],,,,,
3846,an daz dritte ich wende,,,,,,,,
3847,min ſînne #avnd+ min zûnge,,,,,,,,
3848,allen den #zze+ bezzerunge 2830,,,,,,,,
3849,die unſer fr#sov+en minnent,,,,,,,,
3850,#avnd+ ir gnaden ſinnent,,,,,,,,
3851,n#suo+ wizzet daz ich iv beſchei#lde+,,,,,,,,
3852,waz der kuniginne zelei#lde+,,,,,,,,
3853,,nv ſol an miſſewende,,[...]h [...]iſſe[...]nde,,,,,
3854,,daz ander werden geſaget,,,,,,,
3855,,von der div ovf habet,,,,,,,
3856,,die ſvnder in ir h#suo+te,,,,,,,
3857,,mit m#sve+terlicher g#suo+te,,,,,,,
3858,,Nu wil ich ev beſchaiden,,,,,,,
